1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
0.8888889, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
1.0, prec, F1 
1.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.1, prec, F1 
0.125, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.875, prec, F1 
0.875, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.22222222, prec, F1 
0.22222222, rec, F1 
0.2857143, prec, F1 
0.22222222, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.11111111, prec, F1 
0.125, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.09090909, prec, F1 
0.14285715, rec, F1 
0.11111111, prec, F1 
1.0, rec, F1 
0.11111111, prec, F1 
0.14285715, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.125, prec, F1 
0.11111111, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.2857143, prec, F1 
0.22222222, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.0, prec, F1 
0.0, rec, F1 
0.125, prec, F1 
0.11111111, rec, F1 
0.2, prec, F1 
0.22222222, rec, F1 
